path,text
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000u\a01-000u-00.png,A MOVE to stop Mr. Gaitskell from
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000u\a01-000u-01.png,nominating any more Labour life Peers
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000u\a01-000u-02.png,is to be made at a meeting of Labour
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000u\a01-000u-04.png,put down a resolution on the subject
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000u\a01-000u-06.png,"Griffiths , M P for Manchester Exchange ."
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000x\a01-000x-00.png,A MOVE to stop Mr. Gaitskell from nominating
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000x\a01-000x-01.png,any more Labour life Peers is to be made at a
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000x\a01-000x-02.png,meeting of Labour 0M Ps tomorrow . Mr. Michael
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000x\a01-000x-03.png,Foot has put down a resolution on the subject
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000x\a01-000x-04.png,"and he is to be backed by Mr. Will Griffiths ,"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-000x\a01-000x-05.png,0M P for Manchester Exchange .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-00.png,"Though they may gather some Left-wing support , a"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-01.png,large majority of Labour M Ps are likely to
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-02.png,turn down the Foot-Griffiths resolution . Mr.
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-03.png,Foot's line will be that as Labour M Ps
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-04.png,opposed the Government Bill which brought
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-05.png,"life peers into existence , they should not"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-06.png,now put forward nominees . He believes
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-07.png,that the House of Lords should be abolished
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-08.png,and that Labour should not take any steps
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003\a01-003-10.png,institution .
