prediction,ground_truth,diff_ops,error_ngrams
government bi tle Duke of Wellington.,government by the Duke of Wellington.,"[('replace', 12, 13, 12, 13), ('replace', 15, 16, 15, 16)]","[(('by', 'english-dominant'), 1), (('th', 'english-dominant'), 1), (('he', 'neutral'), 1)]"
an honours deglee course . Farming is Britain's,an honours degree course . Farming is Britain's,"[('replace', 14, 15, 14, 15)]","[(('gr', 'neutral'), 1), (('re', 'neutral'), 1)]"
blown up. He has wow Vevealed his full plans,blown up . He has now revealed his full plans,"[('insert', 8, 8, 8, 9), ('replace', 17, 18, 18, 19), ('replace', 21, 22, 22, 23)]",[]
THe EFFECT ON ONE forMER supPOREr thaT he Now thinks this Prime,the effect on one former supporter that he now thinks this Prime,"[('replace', 0, 2, 0, 2), ('replace', 4, 10, 4, 10), ('replace', 11, 13, 11, 13), ('replace', 14, 17, 14, 17), ('replace', 21, 24, 21, 24), ('replace', 28, 32, 28, 33), ('replace', 37, 38, 38, 39), ('replace', 42, 43, 43, 44)]","[(('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('ef', 'neutral'), 1), (('ff', 'neutral'), 1), (('fe', 'neutral'), 1), (('ec', 'english-dominant'), 1), (('ct', 'english-dominant'), 1), (('on', 'neutral'), 2), (('ne', 'neutral'), 1), (('rm', 'neutral'), 1), (('me', 'neutral'), 1), (('er', 'neutral'), 1), (('pp', 'neutral'), 1), (('po', 'neutral'), 1), (('or', 'neutral'), 1), (('rt', 'neutral'), 1), (('te', 'neutral'), 1), (('ha', 'neutral'), 1), (('at', 'neutral'), 1)]"
Das Rutro Ränst auf des PAnutobatum.,Das Auto fährt auf der Autobahn.,"[('replace', 4, 5, 4, 5), ('delete', 7, 8, 7, 7), ('replace', 10, 11, 9, 10), ('replace', 12, 14, 11, 13), ('replace', 22, 23, 21, 22), ('delete', 24, 25, 23, 23), ('delete', 26, 27, 24, 24), ('replace', 32, 35, 29, 31)]","[(('to', 'english-dominant'), 2), (('fä', 'german-dominant'), 1), (('äh', 'german-dominant'), 1), (('hr', 'german-dominant'), 1), (('rt', 'neutral'), 1), (('ut', 'neutral'), 1), (('ob', 'neutral'), 1)]"
an homower degne Gowese. Forwirg ir Blitain´s,an honours degree course . Farming is Britain's,"[('replace', 5, 6, 5, 6), ('replace', 7, 9, 7, 8), ('insert', 10, 10, 9, 10), ('replace', 14, 15, 14, 16), ('replace', 17, 18, 18, 19), ('replace', 19, 21, 20, 22), ('insert', 23, 23, 24, 25), ('replace', 26, 27, 28, 29), ('replace', 28, 29, 30, 31), ('replace', 30, 31, 32, 33), ('replace', 34, 35, 36, 37), ('replace', 37, 38, 39, 40), ('replace', 43, 44, 45, 46)]","[(('on', 'neutral'), 1), (('no', 'english-dominant'), 1), (('ou', 'english-dominant'), 2), (('ur', 'neutral'), 2), (('rs', 'neutral'), 1), (('gr', 'neutral'), 1), (('re', 'neutral'), 1), (('co', 'english-dominant'), 1), (('se', 'neutral'), 1), (('ar', 'neutral'), 1), (('rm', 'neutral'), 1), (('mi', 'neutral'), 1), (('ai', 'english-dominant'), 1), (('in', 'neutral'), 1)]"
- tathihont do Paalteli Adrca th giadt,deutlich auf den Punkt. Die Adressaten sind,"[('replace', 0, 1, 0, 8), ('delete', 2, 3, 9, 9), ('replace', 4, 11, 10, 12), ('replace', 13, 14, 14, 16), ('replace', 16, 19, 18, 21), ('insert', 20, 20, 22, 26), ('delete', 21, 23, 27, 27), ('replace', 27, 28, 31, 34), ('insert', 29, 29, 35, 38), ('replace', 30, 34, 39, 40), ('replace', 35, 36, 41, 42), ('delete', 37, 38, 43, 43)]","[(('de', 'german-dominant'), 2), (('eu', 'german-dominant'), 1), (('ut', 'neutral'), 1), (('tl', 'neutral'), 1), (('li', 'neutral'), 1), (('ic', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('au', 'german-dominant'), 1), (('uf', 'german-dominant'), 1), (('un', 'german-dominant'), 1), (('nk', 'german-dominant'), 1), (('kt', 'german-dominant'), 1), (('dr', 'neutral'), 1), (('re', 'neutral'), 1), (('es', 'neutral'), 1), (('ss', 'neutral'), 1), (('sa', 'neutral'), 1), (('at', 'neutral'), 1), (('te', 'neutral'), 1), (('en', 'german-dominant'), 1)]"
Nationalbeweging,Nationalbewegung,"[('replace', 13, 14, 13, 14)]","[(('gu', 'neutral'), 1), (('un', 'german-dominant'), 1)]"
"-In Deatschland in NoW""",- In Deutschland in NRW,"[('insert', 1, 1, 1, 2), ('replace', 6, 7, 7, 8), ('replace', 20, 21, 21, 22), ('delete', 22, 23, 23, 23)]","[(('eu', 'german-dominant'), 1)]"
government bi the Duke of Wellington.,government by the Duke of Wellington .,"[('replace', 12, 13, 12, 13), ('insert', 36, 36, 36, 37)]","[(('by', 'english-dominant'), 1)]"
Das Auto fährt auf der Autobahn.,Das Auto fährt auf der Autobahn.,[],[]
