prediction,ground_truth,diff_ops,error_ngrams
 Hthikent ds Bualtle Asgidt,deutlich auf den Punkt. Die Adressaten sind,"[('insert', 0, 0, 0, 8), ('replace', 1, 6, 9, 14), ('insert', 8, 8, 16, 21), ('insert', 9, 9, 22, 23), ('replace', 10, 19, 24, 26), ('insert', 22, 22, 29, 32), ('replace', 23, 24, 33, 40), ('insert', 25, 25, 41, 42), ('delete', 26, 27, 43, 43)]","[(('deu', 'german-dominant'), 1), (('eut', 'german-dominant'), 1), (('utl', 'neutral'), 1), (('tli', 'german-dominant'), 1), (('lic', 'german-dominant'), 1), (('ich', 'german-dominant'), 1), (('auf', 'german-dominant'), 1), (('den', 'german-dominant'), 1), (('unk', 'german-dominant'), 1)]"
 thekemadealtintegprund deahaabadea t,"- Sie kennen den Hintergrund, denken aber, dass","[('insert', 0, 0, 0, 1), ('replace', 1, 3, 2, 4), ('insert', 4, 4, 5, 6), ('replace', 6, 8, 8, 13), ('replace', 10, 13, 15, 18), ('insert', 17, 17, 22, 23), ('delete', 18, 19, 24, 24), ('insert', 23, 23, 28, 29), ('replace', 26, 29, 32, 37), ('insert', 31, 31, 39, 44), ('replace', 32, 37, 45, 47)]","[(('ken', 'neutral'), 2), (('enn', 'german-dominant'), 1), (('nne', 'neutral'), 1), (('nen', 'german-dominant'), 1), (('int', 'neutral'), 1), (('erg', 'german-dominant'), 1), (('rgr', 'german-dominant'), 1), (('run', 'german-dominant'), 1), (('und', 'german-dominant'), 1), (('den', 'german-dominant'), 2), (('enk', 'german-dominant'), 1), (('nke', 'german-dominant'), 1)]"
"- In Deatechland in NPew """,- In Deutschland in NRW,"[('replace', 7, 8, 7, 8), ('replace', 9, 10, 9, 10), ('replace', 21, 26, 21, 23)]","[(('eut', 'german-dominant'), 1), (('uts', 'neutral'), 2), (('tsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 1)]"
"Anodtische smitte  T T'd """,Analytische Schritte,"[('replace', 2, 4, 2, 5), ('replace', 11, 13, 12, 16), ('delete', 17, 26, 20, 20)]","[(('nal', 'neutral'), 1), (('aly', 'neutral'), 1), (('lyt', 'english-dominant'), 1), (('rit', 'neutral'), 1), (('itt', 'neutral'), 1), (('tte', 'neutral'), 1)]"
Knmbecal  RDOsFellur oodaebelt T,einander ab. Die Vorstellung ist das Objekt,"[('replace', 0, 1, 0, 2), ('replace', 2, 3, 3, 10), ('insert', 4, 4, 11, 15), ('delete', 5, 8, 16, 16), ('replace', 9, 13, 17, 20), ('replace', 14, 15, 21, 22), ('replace', 19, 20, 26, 28), ('replace', 21, 23, 29, 33), ('insert', 25, 25, 35, 40), ('replace', 26, 29, 41, 42), ('delete', 30, 32, 43, 43)]","[(('ein', 'german-dominant'), 2), (('ina', 'neutral'), 1), (('and', 'neutral'), 2), (('nde', 'german-dominant'), 1), (('der', 'german-dominant'), 1), (('ors', 'neutral'), 1), (('rst', 'neutral'), 2), (('ste', 'neutral'), 1), (('tel', 'neutral'), 1), (('ell', 'neutral'), 1), (('llu', 'german-dominant'), 1), (('lun', 'german-dominant'), 2), (('ung', 'german-dominant'), 1), (('ist', 'neutral'), 1)]"
aiaben   rt,Variablen,"[('insert', 0, 0, 0, 1), ('insert', 1, 1, 2, 3), ('insert', 4, 4, 6, 7), ('delete', 6, 11, 9, 9)]","[(('ria', 'neutral'), 1), (('iab', 'german-dominant'), 1), (('abl', 'neutral'), 1), (('ble', 'neutral'), 1), (('len', 'german-dominant'), 1)]"
- Beurteiling jeines ! Kauts,- Beurteilung eines Kaufs,"[('replace', 10, 11, 10, 11), ('delete', 14, 15, 14, 14), ('delete', 21, 23, 20, 20), ('replace', 26, 27, 23, 24)]","[(('ilu', 'german-dominant'), 1), (('lun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('ein', 'german-dominant'), 1), (('auf', 'german-dominant'), 1), (('ufs', 'german-dominant'), 1)]"
-specifzert einen Ausschitt and dem Verhatten einer Klasse,- spezifiziert einen Ausschnitt aus dem Verhalten einer Klasse,"[('insert', 1, 1, 1, 2), ('replace', 4, 5, 5, 6), ('insert', 7, 7, 8, 9), ('insert', 8, 8, 10, 11), ('insert', 24, 24, 27, 28), ('replace', 29, 31, 33, 35), ('replace', 41, 42, 45, 46)]","[(('spe', 'neutral'), 1), (('pez', 'german-dominant'), 1), (('ezi', 'german-dominant'), 1), (('zif', 'german-dominant'), 1), (('ifi', 'neutral'), 2), (('fiz', 'german-dominant'), 1), (('uss', 'german-dominant'), 1), (('ssc', 'neutral'), 1), (('nit', 'neutral'), 1), (('itt', 'neutral'), 1), (('erh', 'neutral'), 1)]"
- Persistierung twol : File oder Datenbank oder. ...,- Persistierung (wo) : File oder Datenbank oder...,"[('replace', 16, 17, 16, 17), ('replace', 19, 20, 19, 20), ('delete', 48, 49, 48, 48), ('delete', 51, 52, 50, 50)]",[]
 tiestessein und jeder tinseelammante t,niertes sein und jeder Mensch kann auch,"[('replace', 0, 2, 0, 1), ('replace', 4, 5, 3, 4), ('insert', 8, 8, 7, 8), ('replace', 23, 25, 23, 25), ('replace', 27, 33, 27, 31), ('replace', 35, 37, 33, 34), ('replace', 38, 39, 35, 39)]","[(('nie', 'german-dominant'), 1), (('ier', 'german-dominant'), 1), (('ert', 'neutral'), 1), (('rte', 'german-dominant'), 1), (('tes', 'neutral'), 1), (('ens', 'german-dominant'), 1), (('nsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 1), (('kan', 'german-dominant'), 1), (('ann', 'neutral'), 1), (('auc', 'german-dominant'), 1), (('uch', 'neutral'), 2)]"
i Ihidige tebenserwartan .,- niedrige Lebenserwartung,"[('insert', 0, 0, 0, 3), ('replace', 1, 5, 4, 5), ('insert', 6, 6, 6, 7), ('replace', 10, 11, 11, 12), ('replace', 22, 23, 23, 24), ('replace', 24, 26, 25, 26)]","[(('nie', 'german-dominant'), 1), (('ied', 'neutral'), 1), (('edr', 'neutral'), 2), (('dri', 'neutral'), 1), (('art', 'neutral'), 1), (('rtu', 'german-dominant'), 1), (('tun', 'german-dominant'), 2), (('ung', 'german-dominant'), 1)]"
